title,release_date,genre,content_rating,is_switch_2
The Legend of Zelda: Breath of the Wild,03/03/2017,Action-adventure,E10+,False,
Super Mario Odyssey,10/27/2017,3D platformer,E10+,False,
Kirby Star Allies,03/16/2018,2D platformer,E,False,
Super Smash Bros. Ultimate,12/07/2018,Fighting,E10+,False,
Pokémon Sword and Shield,11/15/2019,Role-playing,E,False,
Clubhouse Games: 51 Worldwide Classics,06/05/2020,Party,E,False,
Metroid Dread,10/08/2021,Action-adventure,T,False,
Mario Party Superstars,10/29/2021,Party,E,False,
Pikmin 4,07/21/2023,Real-time strategy,E10+,False,
Mario Kart World,06/05/2025,Racing,E,True,
Pokémon Legends: Z-A,10/16/2025,Action RPG,E10+,False,